jkName,jkNo,meet,ord1CntT,ord1CntY,ord2CntT,ord2CntY,qnlRateT,qnlRateY,rcCntT,rcCntY,winRateT,winRateY
"카시와","080525","서울",0,0,0,0,0,0,2,0,0,0
"카와다","08A130","서울",2,0,0,0,100,0,2,0,100,0
"카와다","08A134","서울",1,0,1,0,100,0,2,0,50,0
"카춘렁","08A115","서울",0,0,1,0,100,0,1,0,0,0
"카힐","08A034","서울",0,0,0,0,0,0,3,0,0,0
"칼슨","080572","서울",5,0,4,0,15.5,0,58,0,8.6,0
"캐시디","08A035","서울",1,0,0,0,20,0,5,0,20,0
"커티스","080502","서울",0,0,0,0,0,0,4,0,0,0
"케빈","08A052","서울",1,0,0,0,20,0,5,0,20,0
"코지","080617","서울",54,30,56,33,25.1,28.3,439,223,12.3,13.5
"쿠니","08A050","서울",0,0,0,0,0,0,4,0,0,0
"크레이그","08A090","서울",0,0,0,0,0,0,4,0,0,0
"키쿠자와","08A046","서울",0,0,1,0,33.3,0,3,0,0,0
"타츠시로","08A093","서울",0,0,0,0,0,0,1,0,0,0
"타케","08A108","서울",1,0,2,1,100,100,3,1,33.3,0
"타케히로","08A081","서울",0,0,0,0,0,0,1,0,0,0
"테일러","080440","서울",1,0,0,0,5.9,0,17,0,5.9,0
"테츠야","08A060","서울",1,0,0,0,25,0,4,0,25,0
"토니","08A116","서울",0,0,0,0,0,0,1,0,0,0
"토시코","080491","서울",1,0,8,0,10.8,0,83,0,1.2,0
"트레보","080615","서울",1,0,3,0,18.2,0,22,0,4.5,0
"트로이","08A117","서울",0,0,0,0,0,0,1,0,0,0
"티탄","08A100","서울",1,0,0,0,100,0,1,0,100,0
"티턴","080505","서울",0,0,1,0,25,0,4,0,0,0
"파둘","08A105","서울",0,0,1,0,33.3,0,3,0,0,0
"파스토","080518","서울",1,0,1,0,50,0,4,0,25,0
"패트릭","080558","서울",0,0,0,0,0,0,6,0,0,0
"패트릭","08A061","서울",1,0,0,0,25,0,4,0,25,0
"페르난도","08A099","서울",0,0,0,0,0,0,3,0,0,0
"푸르칸","080611","서울",53,21,74,41,16.6,19.8,765,313,6.9,6.7
"하마다","080478","서울",5,0,14,0,10.1,0,189,0,2.6,0
"하밋","080450","서울",0,0,0,0,0,0,4,0,0,0
"하워드쳉","08A045","서울",0,0,0,0,0,0,3,0,0,0
"하정훈","080552","서울",75,0,105,0,10.5,0,1713,0,4.4,0
"한성열","080349","서울",158,0,224,0,13.5,0,2831,0,5.6,0
"한유영","080024","서울",414,0,470,0,20,0,4424,0,9.4,0
"한창민","080345","서울",31,0,48,0,7.2,0,1093,0,2.8,0
"함완식","080342","서울",806,0,822,0,25.5,0,6381,0,12.6,0
"해리카심","080614","서울",68,27,58,21,16.5,15.6,762,307,8.9,8.8
"허재영","080358","서울",42,0,55,0,8.7,0,1113,0,3.8,0
"호레스램","08A047","서울",1,0,0,0,33.3,0,3,0,33.3,0
"호반","08A102","서울",0,0,0,0,0,0,3,0,0,0
"호세","080496","서울",0,0,0,0,0,0,4,0,0,0
"홀랜드","08A097","서울",0,0,0,0,0,0,1,0,0,0
"홍대유","080074","서울",369,0,392,0,19.8,0,3845,0,9.6,0
"홍성학","080110","서울",70,0,87,0,21.1,0,744,0,9.4,0
"홍성호","080083","서울",287,0,220,0,23,0,2201,0,13,0
"황순도","080343","서울",88,0,135,0,9.4,0,2364,0,3.7,0
"황영원","080064","서울",71,0,80,0,18.2,0,829,0,8.6,0
"황종우","080424","서울",25,0,33,0,7.3,0,799,0,3.1,0
"황진수","080329","서울",9,0,7,0,7.8,0,206,0,4.4,0
"후마","08A084","서울",0,0,0,0,0,0,4,0,0,0
"후지오카","08A127","서울",0,0,0,0,0,0,2,0,0,0
"후지이","08A096","서울",2,0,0,0,40,0,5,0,40,0
"히라세","080472","서울",7,0,11,0,16.2,0,111,0,6.3,0
"강대은","003024","제주",176,0,188,0,15.6,0,2338,0,7.5,0
"강무경","003001","제주",209,0,197,0,27.5,0,1474,0,14.2,0
"강석","003033","제주",19,0,25,0,14.5,0,303,0,6.3,0
"강성","003060","제주",364,0,333,0,23.4,0,2981,0,12.2,0
"강수한","003077","제주",550,67,499,63,25.4,29,4138,449,13.3,14.9
"강영진","003002","제주",464,0,496,0,21.1,0,4547,0,10.2,0
"고영덕","003003","제주",379,0,405,0,30.5,0,2568,0,14.8,0
"곽석","003094","제주",67,19,74,16,15.2,15,929,234,7.2,8.1
"곽용남","003061","제주",426,11,452,25,18.6,11.4,4716,317,9,3.5
"구영준","003031","제주",249,0,279,0,23.1,0,2289,0,10.9,0
"권동석","003062","제주",312,0,326,0,20.3,0,3141,0,9.9,0
"권육","003034","제주",253,0,341,0,14.6,0,4080,0,6.2,0
"권진영","003078","제주",154,0,175,0,16.8,0,1960,0,7.9,0
"김건수","003035","제주",8,0,17,0,14.6,0,171,0,4.7,0
"김경훈","003047","제주",653,0,693,0,23.4,0,5760,0,11.3,0
"김경휴","003079","제주",69,3,91,2,13.8,10.6,1159,47,6,6.4
"김기섭","003036","제주",206,0,198,0,20.2,0,1996,0,10.3,0
"김기환","003037","제주",138,0,112,0,22.6,0,1105,0,12.5,0
"김다영","003073","제주",133,5,188,14,16,13.3,2006,143,6.6,3.5
"김대연","003028","제주",678,1,849,2,17.1,4.5,8943,67,7.6,1.5
"김명호","003046","제주",261,0,227,0,21.1,0,2315,0,11.3,0
"김성오","003004","제주",117,0,148,0,17.7,0,1495,0,7.8,0
"김수만","003030","제주",396,0,316,0,23.8,0,2994,0,13.2,0
"김영래","003005","제주",215,0,202,0,33.9,0,1229,0,17.5,0
"김영수","003063","제주",140,0,184,0,17.6,0,1844,0,7.6,0
"김용석","003048","제주",0,0,0,0,0,0,16,0,0,0
"김용섭","003006","제주",1348,7,1085,5,26.3,7.6,9242,157,14.6,4.5
"김이랑","003038","제주",556,0,678,0,19.2,0,6435,0,8.6,0
"김일경","003026","제주",231,0,154,0,32.8,0,1172,0,19.7,0
"김재원","003091","제주",48,0,44,0,16.4,0,562,0,8.5,0
"김정일","003064","제주",84,0,121,0,15.2,0,1350,0,6.2,0
"김주희","003065","제주",132,0,192,0,14.3,0,2265,0,5.8,0
"김준호","003081","제주",578,65,486,62,25.1,26.3,4231,483,13.7,13.5
"김태준","003025","제주",350,0,351,0,23.7,0,2958,0,11.8,0
"김한남","003084","제주",48,7,58,6,13.1,13,811,100,5.9,7
"김한도","003007","제주",16,0,14,0,22.9,0,131,0,12.2,0
"김형준","003085","제주",1,0,2,0,5.6,0,54,0,1.9,0
"김홍권","003082","제주",455,74,392,57,24.6,28.5,3450,459,13.2,16.1
"김효준","003049","제주",49,0,53,0,14.2,0,719,0,6.8,0
"나유나","003066","제주",312,2,325,2,17.2,3.3,3707,121,8.4,1.7
"모현진","003050","제주",82,0,71,0,20.6,0,741,0,11.1,0
"문성호","003029","제주",1161,0,1235,0,22.6,0,10612,0,10.9,0
"문현진","003080","제주",671,82,586,62,26.1,30,4820,480,13.9,17.1
"민장기","003008","제주",218,0,189,0,29.9,0,1360,0,16,0
"박기영","003009","제주",614,0,632,0,18.8,0,6622,0,9.3,0
"박병진","003010","제주",571,0,598,0,31.3,0,3736,0,15.3,0
"박성광","003089","제주",529,89,453,90,31.9,44,3077,407,17.2,21.9
"박재희","003095","제주",65,15,94,24,16.1,12.5,985,313,6.6,4.8
"박정민","003051","제주",161,0,251,0,16.7,0,2468,0,6.5,0
"박준호","003039","제주",234,0,274,0,14.1,0,3598,0,6.5,0
"박훈","003052","제주",542,0,451,0,25.1,0,3960,0,13.7,0
"배성아","003074","제주",76,0,97,0,11.2,0,1541,0,4.9,0
"백인호","003011","제주",183,0,221,0,19.8,0,2044,0,9,0
"손병직","003040","제주",9,0,5,0,20.3,0,69,0,13,0
"송강섭","003041","제주",19,0,31,0,14.2,0,351,0,5.4,0
"신경호","003012","제주",114,0,128,0,21.6,0,1120,0,10.2,0
"심광선","003067","제주",115,0,134,0,11.3,0,2197,0,5.2,0
"심도연","003032","제주",263,0,298,0,18.1,0,3106,0,8.5,0
"심태섭","003042","제주",446,0,401,0,24.8,0,3417,0,13.1,0
"안득수","003053","제주",793,11,712,19,20.4,10.9,7376,275,10.8,4
"양민재","003096","제주",46,5,55,5,14.6,6.3,694,158,6.6,3.2
"오영일","003013","제주",443,0,421,0,25.3,0,3411,0,13,0
"원유일","003075","제주",531,24,585,46,18.8,15.7,5924,445,9,5.4
"유미라","003088","제주",7,0,18,0,7.9,0,318,0,2.2,0
"윤덕상","003014","제주",152,0,161,0,23.2,0,1349,0,11.3,0
"윤도선","003068","제주",11,0,18,0,14.9,0,195,0,5.6,0
"이덕형","003076","제주",35,0,26,0,13.9,0,438,0,8,0
"이동준","003086","제주",36,4,45,6,11.1,11.2,727,89,5,4.5
"이성민","003092","제주",203,30,218,31,16,16.8,2631,363,7.7,8.3
"이소연","003093","제주",116,0,123,2,13.6,9.5,1758,21,6.6,0
"이장우","003015","제주",360,0,418,0,18.3,0,4245,0,8.5,0
"이재웅","003054","제주",573,0,547,0,24.2,0,4621,0,12.4,0
"이정철","003016","제주",245,0,315,0,19.4,0,2883,0,8.5,0
"이준호","003017","제주",371,0,413,0,21.1,0,3708,0,10,0
"이태용","003018","제주",590,0,595,0,23.6,0,5015,0,11.8,0
"이현섭","003069","제주",74,0,82,0,17.7,0,879,0,8.4,0
"임재광","003087","제주",291,83,293,52,20.5,28.8,2850,468,10.2,17.7
"장우성","003055","제주",958,2,809,6,25.3,6.1,6997,132,13.7,1.5
"장준환","003043","제주",233,0,229,0,25.8,0,1794,0,13,0
"전현준","003070","제주",1125,60,961,59,28.3,25.1,7364,474,15.3,12.7
"정명일","003044","제주",739,8,728,20,20.1,12.9,7284,217,10.1,3.7
"정복화","003019","제주",131,0,131,0,24.4,0,1075,0,12.2,0
"정성훈","003057","제주",155,0,204,0,17,0,2111,0,7.3,0
"정영수","003020","제주",578,0,586,0,24.9,0,4678,0,12.4,0
"조희원","003090","제주",52,0,81,0,17.1,0,777,0,6.7,0
"채규준","003045","제주",225,0,195,0,21.7,0,1936,0,11.6,0
"최기호","003021","제주",293,0,348,0,20.6,0,3106,0,9.4,0
"한상배","003022","제주",309,0,222,0,34.4,0,1544,0,20,0
"한영민","003058","제주",850,30,801,25,25.2,13.8,6562,400,13,7.5
"허회창","003023","제주",566,0,599,0,21.7,0,5377,0,10.5,0
"황태선","003071","제주",314,0,204,0,26,0,1991,0,15.8,0
"가츠야","080477","부산경남",4,0,2,0,19.4,0,31,0,12.9,0
"구민성","080374","부산경남",105,0,137,0,12.3,0,1962,0,5.4,0
"구영준","080389","부산경남",191,0,167,0,20.7,0,1731,0,11,0
"권오찬","080604","부산경남",32,4,51,4,9.8,8.4,849,95,3.8,4.2
"기욤베","080581","부산경남",10,0,16,0,30.6,0,85,0,11.8,0
"김경근","080399","부산경남",26,0,45,0,10,0,711,0,3.7,0
"김경진","080319","부산경남",84,0,91,0,15.8,0,1107,0,7.6,0
"김남성","080400","부산경남",57,0,111,0,13.4,0,1258,0,4.5,0
"김도현","080381","부산경남",130,0,142,0,11.7,0,2328,0,5.6,0
"김동영","080401","부산경남",466,12,496,15,17.8,9.4,5413,286,8.6,4.2
"김명신","080402","부산경남",93,0,159,0,10.4,0,2413,0,3.9,0
